Institute,Model,Var,Freq,R,RMSE,RI,AE,AAE,MEF,STDobs,STDmod,cRMSE,Rb
UBERN,CSM1-4,CO3,yr,0.9434,22.6826,1.1596,-14.6664,17.0313,0.7776,48.0963,52.0872,17.3031,-0.0719
BCCR,BCM-C,OmegaA,yr,0.9439,0.3530,1.1256,-0.2215,0.2857,0.8077,0.8051,0.6901,0.2749,-0.0694
IFM,UVIC2-8,OmegaA,yr,0.9550,0.2905,1.1144,-0.1627,0.2221,0.8698,0.8051,0.7997,0.2407,-0.0509
IPSL,IPSL-CM4,OmegaA,yr,0.9468,0.3567,1.1469,-0.0153,0.2807,0.8037,0.8051,1.0069,0.3564,-0.0048
MPI-M,COSMOS,OmegaA,yr,0.9632,0.3996,1.1798,-0.3240,0.3357,0.7536,0.8051,0.8646,0.2339,-0.1015
UBERN,CCSM3,OmegaA,yr,0.9445,0.3695,1.1718,-0.2113,0.2694,0.7893,0.8051,0.9086,0.3032,-0.0662
UBERN,CSM1-4,OmegaA,yr,0.9488,0.3177,1.1462,-0.1465,0.2285,0.8443,0.8051,0.8859,0.2820,-0.0459
BCCR,BCM-C,OmegaC,yr,0.9366,0.5393,1.1250,-0.3417,0.4357,0.7823,1.1557,0.9828,0.4172,-0.0699
IFM,UVIC2-8,OmegaC,yr,0.9501,0.4427,1.1134,-0.2506,0.3367,0.8533,1.1557,1.1555,0.3649,-0.0513
IPSL,IPSL-CM4,OmegaC,yr,0.9405,0.5403,1.1439,-0.0275,0.4225,0.7814,1.1557,1.4571,0.5396,-0.0056
MPI-M,COSMOS,OmegaC,yr,0.9582,0.6205,1.1793,-0.5056,0.5219,0.7117,1.1557,1.2489,0.3597,-0.1034
UBERN,CCSM3,OmegaC,yr,0.9380,0.5619,1.1676,-0.3119,0.4039,0.7636,1.1557,1.3249,0.4674,-0.0638
UBERN,CSM1-4,OmegaC,yr,0.9430,0.4878,1.1440,-0.2311,0.3472,0.8219,1.1558,1.2809,0.4296,-0.0473
BCCR,BCM-C,BetaD,yr,0.9388,0.6988,1.0625,0.3139,0.4977,0.8512,1.8117,1.7052,0.6243,0.0306
IFM,UVIC2-8,BetaD,yr,0.9518,0.6943,1.0604,0.3140,0.4482,0.8531,1.8118,1.9975,0.6193,0.0306
IPSL,IPSL-CM4,BetaD,yr,0.9303,0.9115,1.0780,0.3885,0.5753,0.7468,1.8117,2.1739,0.8246,0.0378
MPI-M,COSMOS,BetaD,yr,0.9531,0.8696,1.0745,0.5126,0.5741,0.7696,1.8117,2.1660,0.7024,0.0499
UBERN,CCSM3,BetaD,yr,0.9310,1.1034,1.0940,0.6594,0.7191,0.6291,1.8117,2.2742,0.8847,0.0642
UBERN,CSM1-4,BetaD,yr,0.9330,0.9103,1.0769,0.4410,0.5506,0.7476,1.8118,2.1473,0.7963,0.0430
BCCR,BCM-C,fgCO2,yr,0.6774,1.0095,3.5523,-0.2977,0.7326,0.0227,1.0211,1.2969,0.9646,0.9500
IFM,UVIC2-8,fgCO2,yr,0.5182,1.3289,4.0158,-0.2944,1.0167,-0.6937,1.0211,1.4865,1.2959,0.9395
